Distributor,BrandName,Type,Price,BottleVolume,Description
Granqvist Beverage House AB,Rhum Selection Barbados,Dark rum,30.83,512,Rhum Selection Barbados is the name of a brand of dark rum distributed by Granqvist Beverage House AB. Bottles have a volume of 512 ml. The retail price is $30.83.
Granqvist Beverage House AB,Rhum Selection Guatemala,Dark rum,30.83,500,Rhum Selection Guatemala is the name of a brand of dark rum distributed by Granqvist Beverage House AB. Bottles have a volume of 500 ml. The retail price is $30.83.
Granqvist Beverage House AB,Rhum Selection Trinidad,Dark rum,30.83,500,Rhum Selection Trinidad is the name of a brand of dark rum distributed by Granqvist Beverage House AB. Bottles have a volume of 500 ml. The retail price is $30.83.
Granqvist Beverage House AB,Rhum Selection Paraguay,Dark rum,33.28,500,Rhum Selection Paraguay is the name of a brand of dark rum distributed by Granqvist Beverage House AB. Bottles have a volume of 500 ml. The retail price is $33.28.
Granqvist Beverage House AB,Rhum Selection Belize,Dark rum,33.28,500,Rhum Selection Belize is the name of a brand of dark rum distributed by Granqvist Beverage House AB. Bottles have a volume of 500 ml. The retail price is $33.28.
Oliver & Oliver,Cubaney Exquisito 21 Years,Dark rum,44.39,700,Cubaney Exquisito 21 Years is the name of a brand of dark rum distributed by Oliver & Oliver. Bottles have a volume of 700 ml. The retail price is $44.39.
Oliver & Oliver,Cubaney Estupendo 15 Years,Dark rum,35.5,700,Cubaney Estupendo 15 Years is the name of a brand of dark rum distributed by Oliver & Oliver. Bottles have a volume of 700 ml. The retail price is $35.5.
Oliver & Oliver,Ophyum 23 Years,Dark rum,63.61,700,Ophyum 23 Years is the name of a brand of dark rum distributed by Oliver & Oliver. Bottles have a volume of 700 ml. The retail price is $63.61.
Litchquor Ltd,Gold of Mauritius,Dark rum,29.39,700,Gold of Mauritius is the name of a brand of dark rum distributed by Litchquor Ltd. Bottles have a volume of 700 ml. The retail price is $29.39.
Litchquor Ltd,Gold of Mauritius Solera 5,Dark rum,32.17,799,Gold of Mauritius Solera 5 is the name of a brand of dark rum distributed by Litchquor Ltd. Bottles have a volume of 799 ml. The retail price is $32.17.
Litchquor Ltd,Club Mauritius Rum,Dark rum,25.0,700,Club Mauritius Rum is the name of a brand of dark rum distributed by Litchquor Ltd. Bottles have a volume of 700 ml. The retail price is $25.0.
Destilerías Aldea,Ron Aldea Familia,Dark rum,38.83,700,Ron Aldea Familia is the name of a brand of dark rum distributed by Destilerías Aldea. Bottles have a volume of 700 ml. The retail price is $38.83.
1423,Ron Esclavo Solera XO Cask,Dark rum,43.83,500,Ron Esclavo Solera XO Cask is the name of a brand of dark rum distributed by 1423. Bottles have a volume of 500 ml. The retail price is $43.83.
LMDW / Bielle Distillery,Bielle Ambré,Dark rum,34.94,500,Bielle Ambré is the name of a brand of dark rum distributed by LMDW / Bielle Distillery. Bottles have a volume of 500 ml. The retail price is $34.94.
LMDW / Bielle Distillery,Bielle Vintage Rhum Vieux Agricole,Dark rum,46.61,500,Bielle Vintage Rhum Vieux Agricole is the name of a brand of dark rum distributed by LMDW / Bielle Distillery. Bottles have a volume of 500 ml. The retail price is $46.61.
LMDW / Neisson Distillery,Neisson Batch 2,Dark rum,210.89,700,Neisson Batch 2 is the name of a brand of dark rum distributed by LMDW / Neisson Distillery. Bottles have a volume of 700 ml. The retail price is $210.89.
LMDW / Neisson Distillery,Neisson XO par Neisson,Dark rum,61.0,700,Neisson XO par Neisson is the name of a brand of dark rum distributed by LMDW / Neisson Distillery. Bottles have a volume of 700 ml. The retail price is $61.0.
LMDW / Domaine Poisson,Pere Labat Rhum Extra Vieux Agricole De Marie Galant,Dark rum,80.5,700,Pere Labat Rhum Extra Vieux Agricole De Marie Galant is the name of a brand of dark rum distributed by LMDW / Domaine Poisson. Bottles have a volume of 700 ml. The retail price is $80.5.
LMDW / Domaine Poisson,Pere Labat 59,Light rum,32.11,700,Pere Labat 59 is the name of a brand of light rum distributed by LMDW / Domaine Poisson. Bottles have a volume of 700 ml. The retail price is $32.11.
LMDW / Domaine Poisson,Pere Labat Dore Rhum Agricole,Dark rum,37.72,700,Pere Labat Dore Rhum Agricole is the name of a brand of dark rum distributed by LMDW / Domaine Poisson. Bottles have a volume of 700 ml. The retail price is $37.72.
LMDW / Domaine Poisson,Pere Labat Soleil Rhum Brun Agricole de Marie-Galante,Dark rum,36.0,700,Pere Labat Soleil Rhum Brun Agricole de Marie-Galante is the name of a brand of dark rum distributed by LMDW / Domaine Poisson. Bottles have a volume of 700 ml. The retail price is $36.0.
LMDW / Neisson Distillery,Neisson Le Rhum Agricole Vieux par Neisson,Dark rum,44.28,700,Neisson Le Rhum Agricole Vieux par Neisson is the name of a brand of dark rum distributed by LMDW / Neisson Distillery. Bottles have a volume of 700 ml. The retail price is $44.28.
Bodegas de America,Malecon Gran Reserva 8 Años,Dark rum,28.78,700,Malecon Gran Reserva 8 Años is the name of a brand of dark rum distributed by Bodegas de America. Bottles have a volume of 700 ml. The retail price is $28.78.
Bodegas de America,Malecon Reserva Superior 15 Ãnos,Dark rum,39.94,700,Malecon Reserva Superior 15 Ãnos is the name of a brand of dark rum distributed by Bodegas de America. Bottles have a volume of 700 ml. The retail price is $39.94.
Licores Veracruz,Mocambo 10 Solera Edition Aniversario,Dark rum,32.72,700,Mocambo 10 Solera Edition Aniversario is the name of a brand of dark rum distributed by Licores Veracruz. Bottles have a volume of 700 ml. The retail price is $32.72.
Slaur SAS,Mangoustan's Carte Gris,Dark rum,24.39,700,Mangoustan's Carte Gris is the name of a brand of dark rum distributed by Slaur SAS. Bottles have a volume of 700 ml. The retail price is $24.39.
Edition Spirits,Uitvlugt Kill Devil Single Cask Rum 17 Years,Dark rum,68.78,700,Uitvlugt Kill Devil Single Cask Rum 17 Years is the name of a brand of dark rum distributed by Edition Spirits. Bottles have a volume of 700 ml. The retail price is $68.78.
Industria Licorera Quezalteca,Botran Sistema 15 Solera Reserva,Dark rum,22.17,700,Botran Sistema 15 Solera Reserva is the name of a brand of dark rum distributed by Industria Licorera Quezalteca. Bottles have a volume of 700 ml. The retail price is $22.17.
Destilerías Aldea,Ron Aldea Tradicion,Dark rum,48.83,700,Ron Aldea Tradicion is the name of a brand of dark rum distributed by Destilerías Aldea. Bottles have a volume of 700 ml. The retail price is $48.83.
Enjoy Wine & Spirits,The Brand New Republique Mango,Flavored rum,12.5,700,The Brand New Republique Mango is the name of a brand of Flavored rum distributed by Enjoy Wine & Spirits. Bottles have a volume of 700 ml. The retail price is $12.5.
Facile & Co,Noble Selected Caribbean Rum,Light rum,14.94,700,Noble Selected Caribbean Rum is the name of a brand of light rum distributed by Facile & Co. Bottles have a volume of 700 ml. The retail price is $14.94.
Licores Veracruz,Mocambo Single Barrel 15 Years,Dark rum,32.11,500,Mocambo Single Barrel 15 Years is the name of a brand of dark rum distributed by Licores Veracruz. Bottles have a volume of 500 ml. The retail price is $32.11.
Havana Club International,Havana Club Union,Dark rum,163.89,700,Havana Club Union is the name of a brand of dark rum distributed by Havana Club International. Bottles have a volume of 700 ml. The retail price is $163.89.
H Clément,Clément Très Vieux Rhum Agricole 10 Years,Dark rum,38.83,700,Clément Très Vieux Rhum Agricole 10 Years is the name of a brand of dark rum distributed by H Clément. Bottles have a volume of 700 ml. The retail price is $38.83.
H Clément,Clément Single Cask Vanille Intense Tres Vieux Rhum Agricole,Dark rum,32.17,500,Clément Single Cask Vanille Intense Tres Vieux Rhum Agricole is the name of a brand of dark rum distributed by H Clément. Bottles have a volume of 500 ml. The retail price is $32.17.
